index,sub_id,obj_id,obj_type,display_name,area_id,x,y,z,poly,component,issue,prefab_path
782,75498847,8,2,通用传送车站,20900,1494.71,0.0,1657.91,87005,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
783,75498848,8,2,通用传送车站,20900,1413.74,0.0,1498.65,92605,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
784,75498849,8,2,通用传送车站,20900,1247.06,3.1953125,1467.727,92738,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
785,75498850,8,2,通用传送车站,20900,1243.29382,0.0,1657.857,84998,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
786,75498851,8,2,通用传送车站,20900,1212.09,3.1953125,1824.49,84823,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
787,75498852,8,2,通用传送车站,20900,1402.18,0.0,1828.23,86779,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
788,75498853,8,2,通用传送车站,20900,1568.99,3.1953125,1859.48,95107,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
789,75498854,8,2,通用传送车站,20900,1572.62,0.0,1669.66,86676,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
790,75498855,8,2,通用传送车站,20900,1603.43,3.1953125,1502.73,87217,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
791,75498856,8,2,通用传送车站,20100,378.28,0.0,2595.9,4911,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
792,75498857,8,2,通用传送车站,20100,219.41,0.0,2426.31,4622,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
793,75498858,8,2,通用传送车站,20100,222.752563,3.1953125,2236.324,159165,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
794,75498859,8,2,通用传送车站,20100,378.54,0.0,2266.69,3469,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
795,75498860,8,2,通用传送车站,20100,579.77,3.1953125,2270.98,135549,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
796,75498861,8,2,通用传送车站,20100,470.59,0.0,2426.59,135337,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
797,75498862,8,2,通用传送车站,20100,548.25,0.0,2437.69,134757,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
798,75498863,8,2,通用传送车站,20100,545.12,3.1953125,2627.85,5032,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
799,75498864,8,2,通用传送车站,20100,188.14,3.1953125,2592.83,4462,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
800,75498865,8,2,通用传送车站,20800,378.24,0.0,1572.55,2515,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
801,75498866,8,2,通用传送车站,20800,188.18,3.1953125,1568.76,141188,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
802,75498867,8,2,通用传送车站,20800,219.3086,0.0,1402.148,141054,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
803,75498868,8,2,通用传送车站,20800,223.1562,3.1953125,1212.18542,80018,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
804,75498869,8,2,通用传送车站,20800,378.47,0.0,1243.15,79835,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
805,75498870,8,2,通用传送车站,20800,579.91,3.1953125,1247.2,81623,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
806,75498871,8,2,通用传送车站,20800,548.74,0.0,1413.77,81144,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
807,75498872,8,2,通用传送车站,20800,470.855,0.0,1402.63,81410,0,,Assets/GameToolsData/Prefabs/GameData/InteractiveObj/InteractiveObj_8.prefab
